genre,video_link,artist,song
Electronic,https://www.youtube.com/watch?v=ymNFyxvIdaM,Bomfunk MC's,Freestyler
Electronic,https://www.youtube.com/watch?v=u2rsKZVvo_g,The Prodigy,Diesel Power
Electronic,https://www.youtube.com/watch?v=hN5X4kGhAtU,Empire of the Sun,We Are the People
Electronic,https://www.youtube.com/watch?v=_-QPvffO1gs,Depeche Mode,It's No Good
Metal,https://www.youtube.com/watch?v=tAGnKpE4NCI,Metallica,Nothing Else Matters
Metal,https://www.youtube.com/watch?v=CD-E-LDc384,Metallica,Enter Sandman
Metal,https://www.youtube.com/watch?v=xnKhsTXoKCI,Metallica,Master of Puppets
Metal,https://www.youtube.com/watch?v=WM8bTdBs-cw,Metallica,One
Metal,https://www.youtube.com/watch?v=iywaBOMvYLI,System of a Down,Toxicity
Metal,https://www.youtube.com/watch?v=Ckom3gf57Yw,Metallica,The Unforgiven
Metal,https://www.youtube.com/watch?v=CSvFpBOe8eY,System of a Down,Chop Suey!
Metal,https://www.youtube.com/watch?v=WEQnzs8wl6E,Metallica,Fade to Black
Metal,https://www.youtube.com/watch?v=0qanF-91aJo,Black Sabbath,Paranoid
Metal,https://www.youtube.com/watch?v=3mbvWn1EY6g,Motörhead,Ace of Spades
Metal,https://www.youtube.com/watch?v=A8MO7fkZc5o,Metallica,Sad but True
Metal,https://www.youtube.com/watch?v=DnGdoEa1tPg,System of a Down,Lonely Day
Metal,https://www.youtube.com/watch?v=86URGgqONvA,Iron Maiden,Run to the Hills
Metal,https://www.youtube.com/watch?v=WxnN05vOuSM,Iron Maiden,The Number of the Beast
Metal,https://www.youtube.com/watch?v=5s7_WbiR79E,Black Sabbath,Iron Man
Metal,https://www.youtube.com/watch?v=B1zCN0YhW1s,Slipknot,Wait and Bleed
Metal,https://www.youtube.com/watch?v=09LTT0xwdfw,Disturbed,Down With the Sickness
Metal,https://www.youtube.com/watch?v=L-iepu3EtyE,System of a Down,Aerials
Metal,https://www.youtube.com/watch?v=W3q8Od5qJio,Rammstein,Du Hast
Metal,https://www.youtube.com/watch?v=md3B3I7Nmvw,Metallica,Battery
Metal,https://www.youtube.com/watch?v=i97OkCXwotE,Pantera,Cowboys from Hell
Metal,https://www.youtube.com/watch?v=wsrvmNtWU4E,Metallica,Whiskey in the Jar
Metal,https://www.youtube.com/watch?v=qw2LU1yS7aw,Slipknot,Before I Forget
Metal,https://www.youtube.com/watch?v=p32b5nNq1zw,Iron Maiden,Fear of the Dark
Metal,https://www.youtube.com/watch?v=AkFqg5wAuFk,Pantera,Walk
Metal,https://www.youtube.com/watch?v=X4bgXH3sJ2Q,Iron Maiden,The Trooper
Metal,https://www.youtube.com/watch?v=eeqGuaAl6Ic,Metallica,For Whom the Bell Tolls
Metal,,System of a Down,Chop Suey
Metal,https://www.youtube.com/watch?v=T8XiUrpn6u4,Rage Against the Machine,Killing in the Name
Metal,https://www.youtube.com/watch?v=9sTQ0QdkN3Q,Bullet for My Valentine,Tears Don't Fall
Metal,https://www.youtube.com/watch?v=zUzd9KyIDrM,System of a Down,B.Y.O.B.
Metal,https://www.youtube.com/watch?v=WdoXZf-FZyA,Megadeth,Symphony of Destruction
Metal,https://www.youtube.com/watch?v=cwPg8gJq_Kw,Metallica,Wherever I May Roam
Metal,https://www.youtube.com/watch?v=z8ZqFlw6hYg,Slayer,Raining Blood
Metal,https://www.youtube.com/watch?v=EqQuihD0hoI,Rob Zombie,Dragula
Metal,https://www.youtube.com/watch?v=5abamRO41fE,Slipknot,Psychosocial
Metal,https://www.youtube.com/watch?v=kIBdpFJyFkc,Nightwish,Nemo
Metal,https://www.youtube.com/watch?v=04F4xlWSFh0,Drowning Pool,Bodies
Metal,https://www.youtube.com/watch?v=tMDFv5m18Pw,Ozzy Osbourne,Crazy Train
Metal,https://www.youtube.com/watch?v=5bt7kAVxKfs,Metallica,The Unforgiven II
Metal,https://www.youtube.com/watch?v=PvF9PAxe5Ng,Metallica,Fuel
Metal,https://www.youtube.com/watch?v=1nO_P4BH4pA,Marilyn Manson,Tainted Love
Metal,https://www.youtube.com/watch?v=9qbRHY1l0vc,Iron Maiden,2 Minutes to Midnight
Metal,https://www.youtube.com/watch?v=StZcUAPRRac,Rammstein,Sonne
Metal,https://www.youtube.com/watch?v=dkNfNR1WYMY,Metallica,The Day That Never Comes
Metal,https://www.youtube.com/watch?v=6fVE8kSM43I,Slipknot,Duality
Metal,https://www.youtube.com/watch?v=K6_zsJ8KPP0,Slayer,Angel of Death
Metal,https://www.youtube.com/watch?v=2QBpnfbCZnk,System of a Down,Violent Pornography
Metal,https://www.youtube.com/watch?v=YV4oYkIeGJc,Disturbed,Land of Confusion
Metal,https://www.youtube.com/watch?v=AsY0AtLWrSs,System of a Down,ATWA
Metal,https://www.youtube.com/watch?v=kRnlWLQbLWQ,Koяn,Freak on a Leash
Metal,https://www.youtube.com/watch?v=xAOMEqMXiXI,Metallica,Creeping Death
Metal,https://www.youtube.com/watch?v=LQUXuQ6Zd9w,Black Sabbath,War Pigs
Metal,https://www.youtube.com/watch?v=-xPIdta_uXI,Nightwish,Wish I Had an Angel
Metal,https://www.youtube.com/watch?v=L397TWLwrUU,Judas Priest,Breaking the Law
Metal,https://www.youtube.com/watch?v=3moLkjvhEu0,Disturbed,Stricken
Metal,https://www.youtube.com/watch?v=peENJe_ORdI,Metallica,Welcome Home (Sanitarium)
Metal,https://www.youtube.com/watch?v=x2rQzv8OWEY,Rammstein,Engel
Metal,https://www.youtube.com/watch?v=LoheCz4t2xc,System of a Down,Hypnotize
Metal,https://www.youtube.com/watch?v=J51LPlP-s9o,Iron Maiden,Hallowed Be Thy Name
Metal,https://www.youtube.com/watch?v=Xg9aQvjMS60,Iron Maiden,Aces High
Metal,https://www.youtube.com/watch?v=OYjZK_6i37M,Godsmack,I Stand Alone
Metal,https://www.youtube.com/watch?v=Ypkv0HeUvTc,Marilyn Manson,The Beautiful People
Metal,https://www.youtube.com/watch?v=nM__lPTWThU,Judas Priest,Painkiller
Metal,https://www.youtube.com/watch?v=Rr8ljRgcJNM,Rammstein,Amerika
Metal,https://www.youtube.com/watch?v=B-ALlPLAEbs,Nightwish,Amaranth
Metal,https://www.youtube.com/watch?v=RVMvART9kb8,Pantera,Cemetery Gates
Metal,https://www.youtube.com/watch?v=EOnSh3QlpbQ,Rammstein,Ich will
Metal,https://www.youtube.com/watch?v=s7ZsYe5Uwg0,System of a Down,Prison Song
Metal,https://www.youtube.com/watch?v=RDN4awrpPQQ,Metallica,The Memory Remains
Metal,https://www.youtube.com/watch?v=5vBGOrI6yBk,System of a Down,Sugar
Metal,https://www.youtube.com/watch?v=2lvs2FzF64o,Dio,Holy Diver
Metal,https://www.youtube.com/watch?v=0jgrCKhxE1s,DragonForce,Through the Fire and Flames
Metal,https://www.youtube.com/watch?v=DWSlOCEzRGo,Disturbed,Prayer
Metal,https://www.youtube.com/watch?v=4kQMDSw3Aqo,Marilyn Manson,This Is the New Shit
Metal,https://www.youtube.com/watch?v=ENBv2i88g6Y,System of a Down,Question!
Metal,https://www.youtube.com/watch?v=t1RTgznup5c,Metallica,The Call of Ktulu
Metal,https://www.youtube.com/watch?v=tymWpEU8wpM,Pantera,This Love
Metal,https://www.youtube.com/watch?v=x5A9Aa-WU5E,Megadeth,Hangar 18
Metal,https://www.youtube.com/watch?v=qfehFvmwQlo,Metallica,Blackened
Metal,https://www.youtube.com/watch?v=MM62wjLrgmA,Tool,Schism
Metal,https://www.youtube.com/watch?v=c0SrxSMHDmE,Bullet for My Valentine,Hand of Blood
Metal,https://www.youtube.com/watch?v=Pg9QiXOWy0s,System of a Down,Forest
Metal,https://www.youtube.com/watch?v=kk6wLZN4X74,Metallica,Ride the Lightning
Metal,https://www.youtube.com/watch?v=iOKV9Stri_M,Tool,Vicarious
Metal,https://www.youtube.com/watch?v=eRV9uPr4Dz4,Metallica,Until It Sleeps
Metal,https://www.youtube.com/watch?v=47RA6R3YS_A,Metallica,Of Wolf and Man
Metal,https://www.youtube.com/watch?v=erMYt-Ztmdw,System of a Down,Cigaro
Metal,https://www.youtube.com/watch?v=bYJGt67Mwmo,Metallica,The Thing That Should Not Be
Metal,https://www.youtube.com/watch?v=F_6IjeprfEs,Sepultura,Roots Bloody Roots
Metal,https://www.youtube.com/watch?v=qPOTEs_yTJo,Metallica,Turn the Page
Metal,https://www.youtube.com/watch?v=WXv31OmnKqQ,Rammstein,Mein Herz brennt
Metal,https://www.youtube.com/watch?v=zO6nRXPzX1A,Danzig,Mother
Metal,https://www.youtube.com/watch?v=WPpDyIJdasg,Deftones,Change (In the House of Flies)
Metal,https://www.youtube.com/watch?v=Ij99dud8-0A,Iron Maiden,Wasted Years
Metal,https://www.youtube.com/watch?v=GVcY--XzeIc,Disturbed,Stupify
Metal,https://www.youtube.com/watch?v=BvsMPOfblfg,Rob Zombie,Living Dead Girl
Metal,https://www.youtube.com/watch?v=qOl7m52TQk8,System of a Down,Revenga
Metal,https://www.youtube.com/watch?v=aiQpRQeIiHY,Megadeth,Peace Sells
Metal,https://www.youtube.com/watch?v=LXEKuttVRIo,Slipknot,Snuff
rock,https://www.youtube.com/watch?v=hTWKbfoikeg,Nirvana,Smells Like Teen Spirit
rock,https://www.youtube.com/watch?v=bx1Bh8ZvH84,Oasis,Wonderwall
rock,https://www.youtube.com/watch?v=6Ejga4kJUts,The Cranberries,Zombie
rock,https://www.youtube.com/watch?v=QkF3oxziUI4,Led Zeppelin,Stairway to Heaven
rock,https://www.youtube.com/watch?v=YlUKcNNmywk,Red Hot Chili Peppers,Californication
rock,https://www.youtube.com/watch?v=Y5fBdpreJiU,The Killers,Somebody Told Me
rock,https://www.youtube.com/watch?v=vabnZ9-ex7o,Nirvana,Come as You Are
rock,https://www.youtube.com/watch?v=fJ9rUzIMcZQ,Queen,Bohemian Rhapsody
rock,https://www.youtube.com/watch?v=Soa3gO7tL-c,Green Day,Boulevard of Broken Dreams
rock,https://www.youtube.com/watch?v=Sb5aq5HcS1A,Red Hot Chili Peppers,Dani California
rock,https://www.youtube.com/watch?v=0J2QdDbelmY,The White Stripes,Seven Nation Army
rock,https://www.youtube.com/watch?v=1w7OgIMMRc4,Guns N' Roses,Sweet Child o' Mine
rock,https://www.youtube.com/watch?v=ujNeHIo7oTE,U2,With or Without You
rock,https://www.youtube.com/watch?v=SSbBvKaM6sk,Blur,Song 2
rock,https://www.youtube.com/watch?v=GLvohMXgcBo,Red Hot Chili Peppers,Under the Bridge
rock,https://www.youtube.com/watch?v=Pgum6OT_VH8,Muse,Starlight
rock,https://www.youtube.com/watch?v=dvgZkm1xWPE,Coldplay,Viva la Vida
rock,https://www.youtube.com/watch?v=3YxaaGgTQYM,Evanescence,Bring Me to Life
rock,https://www.youtube.com/watch?v=pta-gf6JaHQ,Muse,Supermassive Black Hole
rock,https://www.youtube.com/watch?v=Ijk4j-r7qPA,Franz Ferdinand,Take Me Out
rock,https://www.youtube.com/watch?v=co6WMzDOh1o,U2,Beautiful Day
rock,https://www.youtube.com/watch?v=SBjQ9tuuTJQ,Foo Fighters,The Pretender
rock,https://www.youtube.com/watch?v=d020hcWA_Wg,Coldplay,Clocks
rock,https://www.youtube.com/watch?v=O4irXQhgMqg,The Rolling Stones,Paint It Black
rock,https://www.youtube.com/watch?v=8SbUC-UaAxE,Guns N' Roses,November Rain
rock,https://www.youtube.com/watch?v=811QZGDysx0,Eagles,Hotel California
rock,https://www.youtube.com/watch?v=1cQh1ccqu8M,Nickelback,How You Remind Me
rock,https://www.youtube.com/watch?v=NdYWuo9OFAw,Goo Goo Dolls,Iris
rock,https://www.youtube.com/watch?v=XFkzRNyygfk,Radiohead,Creep
rock,https://www.youtube.com/watch?v=RF0HhrwIwp0,Kings of Leon,Sex on Fire
rock,https://www.youtube.com/watch?v=O2IuJPh6h_A,Muse,Time Is Running Out
rock,https://www.youtube.com/watch?v=o1tj2zJ2Wvg,Guns N' Roses,Welcome to the Jungle
rock,https://www.youtube.com/watch?v=eBG7P-K-r1Y,Foo Fighters,Everlong
rock,https://www.youtube.com/watch?v=JsxPZNaawSc,Deep Purple,Smoke on the Water
rock,https://www.youtube.com/watch?v=ff0oWESdmH0,The Killers,When You Were Young
rock,https://www.youtube.com/watch?v=kPBzTxZQG5Q,3 Doors Down,Here Without You
rock,https://www.youtube.com/watch?v=xPU8OAjjS4k,3 Doors Down,Kryptonite
rock,https://www.youtube.com/watch?v=gGdGFtwCNBE,The Killers,Mr. Brightside
rock,https://www.youtube.com/watch?v=eVTXPUF4Oz4,Linkin Park,In the End
rock,https://www.youtube.com/watch?v=h0ffIJ7ZO4U,Dire Straits,Sultans of Swing
rock,https://www.youtube.com/watch?v=1uYWYWPc9HU,Radiohead,Karma Police
rock,https://www.youtube.com/watch?v=rn_YodiJO6k,Red Hot Chili Peppers,Otherside
rock,https://www.youtube.com/watch?v=xwtdhWltSIg,R.E.M.,Losing My Religion
rock,https://www.youtube.com/watch?v=-tJYN-eG1zk,Queen,We Will Rock You
rock,https://www.youtube.com/watch?v=JkK8g6FMEXE,Aerosmith,I Don't Want to Miss a Thing
rock,https://www.youtube.com/watch?v=ftjEcrrf7r0,U2,One
rock,https://www.youtube.com/watch?v=tuK6n2Lkza0,Jet,Are You Gonna Be My Girl
rock,https://www.youtube.com/watch?v=Rbm6GXllBiw,Guns N' Roses,Paradise City
rock,https://www.youtube.com/watch?v=pkcJEvMcnEg,Nirvana,Lithium
rock,https://www.youtube.com/watch?v=EM4vblG6BVQ,U2,Sunday Bloody Sunday
rock,https://www.youtube.com/watch?v=3dm_5qWWDV8,Muse,Hysteria
rock,https://www.youtube.com/watch?v=5anLPw0Efmo,Evanescence,My Immortal
rock,https://www.youtube.com/watch?v=mzJj5-lubeM,Red Hot Chili Peppers,Scar Tissue
rock,https://www.youtube.com/watch?v=sZfZ8uWaOFI,Aerosmith,Dream On
rock,https://www.youtube.com/watch?v=yKNxeF4KMsY,Coldplay,Yellow
rock,https://www.youtube.com/watch?v=RB-RcX5DS5A,Coldplay,The Scientist
rock,https://www.youtube.com/watch?v=98W9QuMq-2k,U2,Vertigo
rock,https://www.youtube.com/watch?v=8sgycukafqQ,Linkin Park,What I've Done
rock,https://www.youtube.com/watch?v=T8XiUrpn6u4,Rage Against the Machine,Killing in the Name
rock,https://www.youtube.com/watch?v=qKggnBh2Mdw,AC/DC,Highway to Hell
rock,https://www.youtube.com/watch?v=kXYiU_JCYtU,Linkin Park,Numb
rock,https://www.youtube.com/watch?v=gnhXHvRoUd0,Kings of Leon,Use Somebody
rock,https://www.youtube.com/watch?v=Q3Yc3HhSl1Q,Muse,Knights of Cydonia
rock,https://www.youtube.com/watch?v=hjpF8ukSrvk,Pink Floyd,Wish You Were Here
rock,https://www.youtube.com/watch?v=rIbMbXjbW98,The Who,Baba O'Riley
rock,https://www.youtube.com/watch?v=tAGnKpE4NCI,Metallica,Nothing Else Matters
rock,https://www.youtube.com/watch?v=JnfyjwChuNU,Red Hot Chili Peppers,By the Way
rock,https://www.youtube.com/watch?v=DmeUuoxyt_E,Nickelback,Rockstar
rock,https://www.youtube.com/watch?v=fV4DiAyExN0,Hoobastank,The Reason
rock,https://www.youtube.com/watch?v=3mbBbFH9fAg,Soundgarden,Black Hole Sun
rock,https://www.youtube.com/watch?v=s88r_q7oufE,Queens of the Stone Age,No One Knows
rock,https://www.youtube.com/watch?v=pAgnJDJN4VA,AC/DC,Back in Black
rock,https://www.youtube.com/watch?v=wTP2RUD_cL0,Dire Straits,Money for Nothing
rock,https://www.youtube.com/watch?v=rY0WxgSXdEE,Queen,Another One Bites the Dust
rock,https://www.youtube.com/watch?v=GemKqzILV4w,Snow Patrol,Chasing Cars
rock,https://www.youtube.com/watch?v=btPJPFnesV4,Survivor,Eye of the Tiger
rock,https://www.youtube.com/watch?v=OMOGaugKpzs,The Police,Every Breath You Take
rock,https://www.youtube.com/watch?v=cmpRLQZkTb8,Oasis,Don't Look Back in Anger
rock,https://www.youtube.com/watch?v=ye5BuYf8q4o,Lynyrd Skynyrd,Sweet Home Alabama
rock,https://www.youtube.com/watch?v=8yvGCAvOAfM,30 Seconds to Mars,The Kill
rock,https://www.youtube.com/watch?v=1VQ_3sBZEm0,Foo Fighters,Learn to Fly
rock,https://www.youtube.com/watch?v=k4V3Mo61fJM,Coldplay,Fix You
rock,https://www.youtube.com/watch?v=e3-5YC_oHjE,U2,I Still Haven't Found What I'm Looking For
rock,https://www.youtube.com/watch?v=h_L4Rixya64,Foo Fighters,Best of You
rock,https://www.youtube.com/watch?v=GgnClrx8N2k,The Rolling Stones,Sympathy for the Devil
rock,https://www.youtube.com/watch?v=f8OHybVhQwc,Guns N' Roses,Knockin' on Heaven's Door
rock,https://www.youtube.com/watch?v=TR3Vdo5etCQ,No Doubt,Don't Speak
rock,https://www.youtube.com/watch?v=NMNgbISmF4I,Aerosmith,Crazy
rock,https://www.youtube.com/watch?v=0qanF-91aJo,Black Sabbath,Paranoid
rock,https://www.youtube.com/watch?v=vx2u5uUu3DE,Bon Jovi,It's My Life
rock,https://www.youtube.com/watch?v=EvuL5jyCHOw,Lenny Kravitz,Fly Away
rock,https://www.youtube.com/watch?v=-IUSZyjiYuY,Nickelback,If Everyone Cared
rock,https://www.youtube.com/watch?v=3FsrPEUt2Dg,U2,Where the Streets Have No Name
rock,https://www.youtube.com/watch?v=d8ekz_CSBVg,Three Days Grace,I Hate Everything About You
rock,https://www.youtube.com/watch?v=qoX6AKuYWL8,The Doors,Light My Fire
rock,https://www.youtube.com/watch?v=CdhqVtpR2ts,Evanescence,Going Under
rock,https://www.youtube.com/watch?v=t4QK8RxCAwo,Boston,More Than a Feeling
rock,https://www.youtube.com/watch?v=t99KH0TR-J4,Queen,The Show Must Go On
rock,https://www.youtube.com/watch?v=n4RjJKxsamQ,Scorpions,Wind of Change
rock,https://www.youtube.com/watch?v=Tr8uesBowS4,Limp Bizkit,Behind Blue Eyes
hip-hop,https://www.youtube.com/watch?v=PsO6ZnUZI0g,Kanye West,Stronger
hip-hop,https://www.youtube.com/watch?v=ewRjZoRtu0Y,M.I.A.,Paper Planes
hip-hop,https://www.youtube.com/watch?v=_Yhyp-_hX2s,Eminem,Lose Yourself
hip-hop,https://www.youtube.com/watch?v=nQJACVmankY,T.I.,Whatever You Like
hip-hop,https://www.youtube.com/watch?v=-N4jf6rtyuw,Gnarls Barkley,Crazy
hip-hop,https://www.youtube.com/watch?v=UclCCFNG9q4,Gorillaz,Clint Eastwood
hip-hop,https://www.youtube.com/watch?v=iOcc5eEtkTM,Juzhin,Charlie Conscience (feat. MMAIO)
hip-hop,https://www.youtube.com/watch?v=1GezTDIb52Q,Juzhin,Railways
hip-hop,https://www.youtube.com/watch?v=iOcc5eEtkTM,Juzhin,Coming Down
hip-hop,https://www.youtube.com/watch?v=RGv4PRqYqK4,Juzhin,Tupona
hip-hop,https://www.youtube.com/watch?v=qORYO0atB6g,Beastie Boys,Intergalactic
hip-hop,https://www.youtube.com/watch?v=Mnd0j8QwQI4,Juzhin,Sakhalin
